orthologs: 12
totalgenes: 7
organism: dmelanogaster
Enriched Phenotype	P-value	n	m	i	rank	q-value	Overlap Genes
abnormal circadian rhythm (with Clk[S487A.Tag:V5])	0.0003150846790100361	1	25389	1	52	0.011428571428571429	FBgn0023076
abnormal circadian rhythm (with Clk[S525A.Tag:V5])	0.0003150846790100361	1	25389	1	53	0.01164835164835165	FBgn0023076
abnormal circadian rhythm (with Clk[S859A.Tag:V5])	0.0003150846790100361	1	25389	1	54	0.011868131868131869	FBgn0023076
abnormal circadian rhythm (with Clk[S912A.Tag:V5])	0.0003150846790100361	1	25389	1	55	0.012087912087912088	FBgn0023076
abnormal circadian rhythm (with Df(3L)BSC631)	0.0003150846790100361	1	25389	1	56	0.01230769230769231	FBgn0023076
abnormal circadian rhythm | adult stage, with Clk[Tag:V5.WT]	0.0003150846790100361	1	25389	1	57	0.012527472527472529	FBgn0023076
abnormal circadian rhythm (with Clk[S476A.S482A.Tag:V5])	0.0003150846790100361	1	25389	1	58	0.012747252747252746	FBgn0023076
visible | dominant (with Metatarsi-irregular[1])	0.0003150846790100361	1	25389	1	59	0.01296703296703297	FBgn0002723
decreased occurrence of cell division | prepupal stage	0.0003150846790100361	1	25389	1	60	0.013186813186813189	FBgn0002723
adult optic lobe | prepupal stage	0.0003150846790100361	1	25389	1	61	0.013406593406593406	FBgn0002723
embryonic/larval fat body | wandering third instar larval stage, with Met[W3], Scer\GAL4[Adh.PF]	0.0003150846790100361	1	25389	1	62	0.013626373626373625	FBgn0002723
tarsal segment | ectopic (with Df(3R)ss-D114.4)	0.0003150846790100361	1	25389	1	63	0.013846153846153848	FBgn0003513
embryonic/larval fat body | wandering third instar larval stage, with Met[UAS.cBa], Scer\GAL4[Adh.PF]	0.0003150846790100361	1	25389	1	64	0.014065934065934066	FBgn0002723
lethal | larval stage, with Scer\GAL4[Tub.PU]	0.0003150846790100361	1	25389	1	65	0.014285714285714285	FBgn0261703
lethal | pharate adult stage, with Scer\GAL4[Tub.PU]	0.0003150846790100361	1	25389	1	66	0.014505494505494508	FBgn0261703
abnormal locomotor rhythm, with Clk[out]	0.0003150846790100361	1	25389	1	67	0.014725274725274726	FBgn0023076
abnormal temperature response, with Clk[out]	0.0003150846790100361	1	25389	1	68	0.014945054945054945	FBgn0023076
photoreceptor cell R8 | prepupal stage	0.0003150846790100361	1	25389	1	69	0.015164835164835164	FBgn0002723
photoreceptor cell R7 | prepupal stage	0.0003150846790100361	1	25389	1	70	0.015384615384615385	FBgn0002723
eye (with Metatarsi-irregular[1])	0.0003150846790100361	1	25389	1	71	0.015604395604395605	FBgn0002723
leg sensillum (with Metatarsi-irregular[1])	0.0003150846790100361	1	25389	1	72	0.015824175824175824	FBgn0002723
tarsal segment 1 & joint (with Metatarsi-irregular[1])	0.0003150846790100361	1	25389	1	73	0.016043956043956045	FBgn0002723
tarsal segment 2 & joint (with Metatarsi-irregular[1])	0.0003150846790100361	1	25389	1	74	0.016263736263736266	FBgn0002723
abnormal circadian rhythm, with Scer\GAL4[yolk]	0.0003150846790100361	1	25389	1	75	0.016483516483516484	FBgn0023076
visible (with Metatarsi-irregular[1])	0.0003150846790100361	1	25389	1	76	0.0167032967032967	FBgn0002723
metathoracic bristle | increased number	0.0003150846790100361	1	25389	1	77	0.016923076923076926	FBgn0001233
arista (with Df(3R)ss-D114.4)	0.0003150846790100361	1	25389	1	78	0.017142857142857144	FBgn0003513
leg | ectopic (with ss[aBR30-71])	0.0003150846790100361	1	25389	1	79	0.01736263736263736	FBgn0003513
chaeta (with ss[aP88])	0.0003150846790100361	1	25389	1	80	0.017582417582417586	FBgn0003513
male sterile (with Hsp83[e6A])	0.0003150846790100361	1	25389	1	81	0.017802197802197803	FBgn0001233
male sterile (with Hsp83[e6D])	0.0003150846790100361	1	25389	1	82	0.01802197802197802	FBgn0001233
partially lethal (with Hsp83[13F3])	0.0003150846790100361	1	25389	1	83	0.018241758241758242	FBgn0001233
partially lethal (with Hsp83[19F2])	0.0003150846790100361	1	25389	1	84	0.018461538461538463	FBgn0001233
mesothoracic bristle | increased number	0.0003150846790100361	1	25389	1	85	0.01868131868131868	FBgn0001233
abnormal neuroanatomy (with ss[D115.7])	0.0003150846790100361	1	25389	1	86	0.018901098901098902	FBgn0003513
male sterile (with Hsp83[e4A])	0.0003150846790100361	1	25389	1	87	0.01912087912087912	FBgn0001233
viable (with Hsp83[e6A])	0.0003150846790100361	1	25389	1	88	0.019340659340659344	FBgn0001233
lethal (with Hsp83[P582])	0.0003150846790100361	1	25389	1	89	0.01956043956043956	FBgn0001233
abnormal locomotor rhythm (with Hsp83[e6A])	0.0003150846790100361	1	25389	1	90	0.01978021978021978	FBgn0001233
abnormal locomotor rhythm (with Hsp83[e6D])	0.0003150846790100361	1	25389	1	91	0.020000000000000004	FBgn0001233
abnormal locomotor rhythm (with Hsp83[j5C2])	0.0003150846790100361	1	25389	1	92	0.02021978021978022	FBgn0001233
embryonic abdominal segment | maternal effect (with Hsp83[e6D])	0.0003150846790100361	1	25389	1	93	0.02043956043956044	FBgn0001233
neuroblast (with Hsp83[P582])	0.0003150846790100361	1	25389	1	94	0.02065934065934066	FBgn0001233
viable (with Hsp83[e6D])	0.0003150846790100361	1	25389	1	95	0.02087912087912088	FBgn0001233
male sterile (with Hsp83[e3A])	0.0003150846790100361	1	25389	1	96	0.0210989010989011	FBgn0001233
male sterile (with Hsp83[e1D])	0.0003150846790100361	1	25389	1	97	0.02131868131868132	FBgn0001233
lethal (with Hsp83[j5C2])	0.0003150846790100361	1	25389	1	98	0.02153846153846154	FBgn0001233
leg joint (with ss[D114.9])	0.0003150846790100361	1	25389	1	99	0.02175824175824176	FBgn0003513
metatarsus (with ss[D114.9])	0.0003150846790100361	1	25389	1	100	0.02197802197802198	FBgn0003513
sex comb | ectopic (with ss[D114.9])	0.0003150846790100361	1	25389	1	101	0.022197802197802197	FBgn0003513
tarsal segment (with ss[sta])	0.0003150846790100361	1	25389	1	102	0.02241758241758242	FBgn0003513
visible (with ss[sta])	0.0003150846790100361	1	25389	1	103	0.02263736263736264	FBgn0003513
tarsal segment (with ss[abr])	0.0003150846790100361	1	25389	1	104	0.022857142857142857	FBgn0003513
visible (with ss[abr])	0.0003150846790100361	1	25389	1	105	0.023076923076923078	FBgn0003513
labial sensillum	0.0003150846790100361	1	25389	1	106	0.0232967032967033	FBgn0003513
labial sensillum | somatic clone	0.0003150846790100361	1	25389	1	107	0.023516483516483517	FBgn0003513
visible (with ss[1])	0.0003150846790100361	1	25389	1	108	0.023736263736263738	FBgn0003513
antenna (with ss[134])	0.0003150846790100361	1	25389	1	109	0.02395604395604396	FBgn0003513
chaeta (with ss[134])	0.0003150846790100361	1	25389	1	110	0.024175824175824177	FBgn0003513
leg | ectopic (with ss[134])	0.0003150846790100361	1	25389	1	111	0.024395604395604398	FBgn0003513
visible (with ss[134])	0.0003150846790100361	1	25389	1	112	0.02461538461538462	FBgn0003513
chaeta (with ss[1])	0.0003150846790100361	1	25389	1	113	0.024835164835164836	FBgn0003513
partially lethal (with Hsp83[6-55])	0.0003150846790100361	1	25389	1	114	0.025054945054945058	FBgn0001233
visible (with ss[aP88])	0.0003150846790100361	1	25389	1	115	0.025274725274725275	FBgn0003513
viable (with Hsp83[e1D])	0.0003150846790100361	1	25389	1	116	0.025494505494505493	FBgn0001233
dorsal appendage (with Hsp83[e6A])	0.0003150846790100361	1	25389	1	117	0.025714285714285714	FBgn0001233
pale ommatidium | ectopic	0.0003150846790100361	1	25389	1	118	0.02593406593406594	FBgn0003513
pale ommatidium | ectopic | somatic clone	0.0003150846790100361	1	25389	1	119	0.026153846153846156	FBgn0003513
antennal disc (with Df(3R)ss-D114.4)	0.0003150846790100361	1	25389	1	120	0.026373626373626377	FBgn0003513
photoreceptor cell R7 of pale ommatidium | ectopic | somatic clone	0.0003150846790100361	1	25389	1	121	0.026593406593406595	FBgn0003513
third segment of antenna (with Df(3R)ss-D114.4)	0.0003150846790100361	1	25389	1	122	0.026813186813186812	FBgn0003513
antenna (with ss[aBR30-71])	0.0003150846790100361	1	25389	1	123	0.027032967032967033	FBgn0003513
dendrite & dorsal multidendritic neuron ddaE (with ss[134])	0.0003150846790100361	1	25389	1	124	0.02725274725274725	FBgn0003513
chaeta (with ss[aBR30-71])	0.0003150846790100361	1	25389	1	125	0.027472527472527476	FBgn0003513
dendrite & dorsal multidendritic neuron ddaD | somatic clone	0.0003150846790100361	1	25389	1	126	0.027692307692307697	FBgn0003513
dendrite & dorsal multidendritic neuron ddaE (with ss[D115.7])	0.0003150846790100361	1	25389	1	127	0.027912087912087914	FBgn0003513
dendrite & dorsal multidendritic neuron ddaF | somatic clone	0.0003150846790100361	1	25389	1	128	0.028131868131868132	FBgn0003513
dendrite & lateral multidendritic neuron ldaB | somatic clone	0.0003150846790100361	1	25389	1	129	0.028351648351648353	FBgn0003513
abnormal circadian rhythm | adult stage, with Clk[Δ657-707.Tag:V5]	0.0003150846790100361	1	25389	1	130	0.02857142857142857	FBgn0023076
visible (with ss[aBR30-71])	0.0003150846790100361	1	25389	1	131	0.02879120879120879	FBgn0003513
dendrite & dorsal multidendritic neuron ddaB | somatic clone	0.0003150846790100361	1	25389	1	132	0.029010989010989016	FBgn0003513
abnormal neuroanatomy (with ss[134])	0.0003150846790100361	1	25389	1	133	0.029230769230769234	FBgn0003513
visible (with ss[D115.7])	0.0003150846790100361	1	25389	1	134	0.02945054945054945	FBgn0003513
ventral thoracic disc (with ss[D115.7])	0.0003150846790100361	1	25389	1	135	0.029670329670329672	FBgn0003513
egg (with Hsp83[e6A])	0.0003150846790100361	1	25389	1	136	0.02989010989010989	FBgn0001233
egg chamber (with Hsp83[e6A])	0.0003150846790100361	1	25389	1	137	0.03010989010989011	FBgn0001233
nurse cell (with Hsp83[e6A])	0.0003150846790100361	1	25389	1	138	0.03032967032967033	FBgn0001233
abnormal cell polarity (with Hsp83[P582])	0.0003150846790100361	1	25389	1	139	0.030549450549450553	FBgn0001233
mesothoracic tarsal segment | distal | ectopic	0.0003150846790100361	1	25389	1	140	0.03076923076923077	FBgn0003513
fifth segment of antenna (with Df(3R)ss-D114.4)	0.0003150846790100361	1	25389	1	141	0.030989010989010992	FBgn0003513
fourth segment of antenna (with Df(3R)ss-D114.4)	0.0003150846790100361	1	25389	1	142	0.03120879120879121	FBgn0003513
leg joint (with ss[a])	0.0003150846790100361	1	25389	1	143	0.03142857142857143	FBgn0003513
metatarsus (with ss[a])	0.0003150846790100361	1	25389	1	144	0.03164835164835165	FBgn0003513
pretarsus (with ss[D115.7])	0.0003150846790100361	1	25389	1	145	0.031868131868131866	FBgn0003513
second segment of antenna (with Df(3R)ss-D114.4)	0.0003150846790100361	1	25389	1	146	0.03208791208791209	FBgn0003513
sex comb | ectopic (with ss[a])	0.0003150846790100361	1	25389	1	147	0.03230769230769231	FBgn0003513
tarsal segment 2 (with ss[D115.7])	0.0003150846790100361	1	25389	1	148	0.03252747252747253	FBgn0003513
tarsal segment 3 (with ss[D115.7])	0.0003150846790100361	1	25389	1	149	0.03274725274725275	FBgn0003513
tarsal segment 4 (with ss[D115.7])	0.0003150846790100361	1	25389	1	150	0.03296703296703297	FBgn0003513
viable (with Hsp83[e3A])	0.0003150846790100361	1	25389	1	151	0.033186813186813185	FBgn0001233
abnormal locomotor rhythm, with Clk[15A.Tag:V5]	0.0003150846790100361	1	25389	1	152	0.0334065934065934	FBgn0023076
abnormal temperature response, with Clk[15A.Tag:V5]	0.0003150846790100361	1	25389	1	153	0.03362637362637363	FBgn0023076
dorsal appendage (with Hsp83[19F2])	0.0003150846790100361	1	25389	1	154	0.03384615384615385	FBgn0001233
midline glial cell, with Scer\GAL4[btl.PS]	0.0003150846790100361	1	25389	1	155	0.03406593406593407	FBgn0264075
glial cell, with Scer\GAL4[loco.1.3]	0.0003150846790100361	1	25389	1	156	0.03428571428571429	FBgn0264075
leg joint, with Scer\GAL4[GMR13D07]	0.0003150846790100361	1	25389	1	157	0.034505494505494505	FBgn0264075
tarsal segment, with Scer\GAL4[GMR13D07]	0.0003150846790100361	1	25389	1	158	0.03472527472527472	FBgn0264075
increased cell death | progressive	0.0003150846790100361	1	25389	1	159	0.03494505494505495	FBgn0023076
third segment of antenna | distal | somatic clone	0.0003150846790100361	1	25389	1	160	0.03516483516483517	FBgn0264075
leg | ectopic, with Scer\GAL4[Dll-em212]	0.0003150846790100361	1	25389	1	161	0.03538461538461539	FBgn0264075
tarsal segment 4, with Scer\GAL4[Dll-em212]	0.0003150846790100361	1	25389	1	162	0.03560439560439561	FBgn0264075
tarsal segment 5, with Scer\GAL4[Dll-em212]	0.0003150846790100361	1	25389	1	163	0.035824175824175825	FBgn0264075
lethal - all die during third instar larval stage, with Scer\GAL4[da.G32]	0.0003150846790100361	1	25389	1	164	0.03604395604395604	FBgn0001233
abnormal circadian rhythm (with Clk[out])	0.0003150846790100361	1	25389	1	165	0.03626373626373627	FBgn0023076
pupal Pdf neuron	0.0003150846790100361	1	25389	1	166	0.036483516483516484	FBgn0023076
abnormal neuroanatomy, with Scer\GAL4[btl.PS]	0.0003150846790100361	1	25389	1	167	0.0367032967032967	FBgn0264075
abnormal locomotor rhythm (with Clk[Z3-0084])	0.0003150846790100361	1	25389	1	168	0.036923076923076927	FBgn0023076
abnormal cell migration, with Scer\GAL4[loco.1.3]	0.0003150846790100361	1	25389	1	169	0.037142857142857144	FBgn0264075
chemical resistant (with Metatarsi-irregular[1])	0.0003150846790100361	1	25389	1	170	0.03736263736263736	FBgn0002723
embryonic/larval brain, with Scer\GAL4[NP6099]	0.0003150846790100361	1	25389	1	171	0.037582417582417586	FBgn0264075
increased occurrence of cell division | pupal stage, with Scer\GAL4[ap-md544]	0.0003150846790100361	1	25389	1	172	0.037802197802197804	FBgn0001233
egg (with Hsp83[19F2])	0.0003150846790100361	1	25389	1	173	0.03802197802197802	FBgn0001233
tracheal system, with Scer\GAL4[btl.PS]	0.0003150846790100361	1	25389	1	174	0.03824175824175824	FBgn0264075
exit glial cell, with Scer\GAL4[loco.1.3]	0.0003150846790100361	1	25389	1	175	0.038461538461538464	FBgn0264075
egg chamber (with Hsp83[19F2])	0.0003150846790100361	1	25389	1	176	0.03868131868131869	FBgn0001233
male sterile (with Hsp83[6-55])	0.0003150846790100361	1	25389	1	177	0.038901098901098906	FBgn0001233
viable (with Hsp83[13F3])	0.0003150846790100361	1	25389	1	178	0.03912087912087912	FBgn0001233
viable (with Hsp83[19F2])	0.0003150846790100361	1	25389	1	179	0.03934065934065934	FBgn0001233
embryonic abdominal segment | maternal effect (with Hsp83[08445])	0.0003150846790100361	1	25389	1	180	0.03956043956043956	FBgn0001233
neuroblast (with Hsp83[13F3])	0.0003150846790100361	1	25389	1	181	0.03978021978021978	FBgn0001233
abnormal circadian rhythm | adult stage, with Clk[out]	0.0003150846790100361	1	25389	1	182	0.04000000000000001	FBgn0023076
viable (with Hsp83[9J1])	0.0003150846790100361	1	25389	1	183	0.040219780219780225	FBgn0001233
nurse cell (with Hsp83[19F2])	0.0003150846790100361	1	25389	1	184	0.04043956043956044	FBgn0001233
lethal (with Hsp83[6-55])	0.0003150846790100361	1	25389	1	185	0.04065934065934066	FBgn0001233
abnormal feeding behavior, with Scer\GAL4[to.PD]	0.0003150846790100361	1	25389	1	186	0.04087912087912088	FBgn0023076
abnormal locomotor rhythm (with Hsp83[08445])	0.0003150846790100361	1	25389	1	187	0.0410989010989011	FBgn0001233
abnormal cell polarity (with Hsp83[13F3])	0.0003150846790100361	1	25389	1	188	0.04131868131868132	FBgn0001233
abnormal locomotor rhythm (with Clk[ar])	0.0003150846790100361	1	25389	1	189	0.041538461538461545	FBgn0023076
viable	0.0005861629227181216	4500	20890	6	190	0.04175824175824176	FBgn0003513,FBgn0001233,FBgn0037728,FBgn0002723,FBgn0261703,FBgn0023076
leg | distal | somatic clone	0.0006299956140464306	2	25388	1	191	0.04197802197802198	FBgn0264075
abnormal circadian rhythm, with Scer\GAL4[to.PD]	0.0006299956140464306	2	25388	1	192	0.0421978021978022	FBgn0023076
border follicle cell | oogenesis stage S9 | somatic clone	0.0006299956140464306	2	25388	1	193	0.04241758241758242	FBgn0264075
abnormal neuroanatomy, with Scer\GAL4[loco.1.3]	0.0006299956140464306	2	25388	1	194	0.04263736263736264	FBgn0264075
tracheal branch primordium, with Scer\GAL4[69B]	0.0006299956140464306	2	25388	1	195	0.04285714285714286	FBgn0003513
abnormal circadian rhythm, with Scer\GAL4[Or22a.8197]	0.0006299956140464306	2	25388	1	196	0.04307692307692308	FBgn0023076
lamina forming neuroblast, with Scer\GAL4[NP6099]	0.0006299956140464306	2	25388	1	197	0.0432967032967033	FBgn0264075
wing | dorsal, with Scer\GAL4[ap-md544]	0.0006299956140464306	2	25388	1	198	0.04351648351648352	FBgn0001233
basal cylinder | somatic clone	0.0006299956140464306	2	25388	1	199	0.04373626373626374	FBgn0264075
wing margin, with Scer\GAL4[NP7148]	0.0006299956140464306	2	25388	1	200	0.04395604395604396	FBgn0003513
unguis | ectopic | somatic clone	0.0006299956140464306	2	25388	1	201	0.04417582417582418	FBgn0264075
yellow ommatidium	0.0006299956140464306	2	25388	1	202	0.044395604395604395	FBgn0003513
increased occurrence of cell division | pupal stage, with Scer\GAL4[GMR.PU]	0.0006299956140464306	2	25388	1	203	0.04461538461538462	FBgn0001233
dendrite & dorsal multidendritic neuron ddaE	0.0006299956140464306	2	25388	1	204	0.04483516483516484	FBgn0003513
dendrite & dorsal multidendritic neuron ddaE | somatic clone	0.0006299956140464306	2	25388	1	205	0.04505494505494506	FBgn0003513
abnormal cell migration | oogenesis stage S10 | somatic clone	0.0006299956140464306	2	25388	1	206	0.04527472527472528	FBgn0264075
some die during larval stage, with Scer\GAL4[-]:	0.0006299956140464306	2	25388	1	207	0.0454945054945055	FBgn0002723
antenna, with Scer\GAL4[Dll-em212]	0.0006299956140464306	2	25388	1	208	0.045714285714285714	FBgn0264075
abnormal cell migration | oogenesis stage S9 | somatic clone	0.0006299956140464306	2	25388	1	209	0.04593406593406593	FBgn0264075
viable, with Scer\GAL4[cry.PE]	0.0006299956140464306	2	25388	1	210	0.046153846153846156	FBgn0023076
unguis | ectopic	0.0006299956140464306	2	25388	1	211	0.04637362637362638	FBgn0003513
abnormal circadian rhythm, with Scer\GAL4[Orco.2.642.Hsim\VP22]	0.0006299956140464306	2	25388	1	212	0.0465934065934066	FBgn0023076
arista | proximal	0.0006299956140464306	2	25388	1	213	0.046813186813186816	FBgn0003513
third segment of antenna | distal	0.0006299956140464306	2	25388	1	214	0.047032967032967034	FBgn0003513
arista | cold sensitive	0.0006299956140464306	2	25388	1	215	0.04725274725274725	FBgn0003513
antenna | distal | somatic clone	0.0006299956140464306	2	25388	1	216	0.047472527472527476	FBgn0003513
dorsomedial papilla	0.0009447328667520288	3	25387	1	217	0.0476923076923077	FBgn0003513
abnormal neuroanatomy, with Scer\GAL4[NP6099]	0.0009447328667520288	3	25387	1	218	0.04791208791208792	FBgn0264075
abnormal circadian rhythm, with Scer\GAL4[cry.PE]	0.0009447328667520288	3	25387	1	219	0.048131868131868136	FBgn0023076
metathoracic leg disc | larval stage	0.0009447328667520288	3	25387	1	220	0.04835164835164835	FBgn0003513
oocyte | oogenesis stage S12	0.0009447328667520288	3	25387	1	221	0.04857142857142857	FBgn0002723
symmetrical commissure, with Scer\GAL4[sim.P3.7]	0.0009447328667520288	3	25387	1	222	0.048791208791208796	FBgn0264075
mesothoracic tarsal segment	0.0009447328667520288	3	25387	1	223	0.04901098901098901	FBgn0003513
oocyte | oogenesis stage S11	0.0009447328667520288	3	25387	1	224	0.04923076923076924	FBgn0002723
partially lethal - majority die | female, with Scer\GAL4[Bx-MS1096]	0.0009447328667520288	3	25387	1	225	0.049450549450549455	FBgn0001233
larval longitudinal connective, with Scer\GAL4[sim.P3.7]	0.0009447328667520288	3	25387	1	226	0.04967032967032967	FBgn0264075
abnormal circadian rhythm, with Scer\GAL4[cry.PZ]	0.0009447328667520288	3	25387	1	227	0.04989010989010989	FBgn0023076
lethal | larval stage, with Scer\GAL4[Act.PU]	0.0009447328667520288	3	25387	1	228	0.050109890109890115	FBgn0002723
increased occurrence of cell division | pupal stage | somatic clone	0.0009447328667520288	3	25387	1	229	0.05032967032967033	FBgn0001233
prothoracic tarsal segment	0.0009447328667520288	3	25387	1	230	0.05054945054945055	FBgn0003513
viable, with Scer\GAL4[P2.4.Pdf]	0.0012592964985615569	4	25386	1	231	0.05076923076923077	FBgn0023076
oocyte | oogenesis stage S13	0.0012592964985615569	4	25386	1	232	0.050989010989010985	FBgn0002723
vertical bristle	0.0012592964985615569	4	25386	1	233	0.05120879120879121	FBgn0003513
GO0072686:mitotic spindle | larval stage	0.0012592964985615569	4	25386	1	234	0.05142857142857143	FBgn0001233
Pdf neuron	0.0012592964985615569	4	25386	1	235	0.05164835164835166	FBgn0023076
antennal segment	0.0012592964985615569	4	25386	1	236	0.05186813186813188	FBgn0003513
oocyte | oogenesis stage S8	0.0012592964985615569	4	25386	1	237	0.052087912087912094	FBgn0002723
abnormal visual perception	0.0012592964985615569	4	25386	1	238	0.05230769230769231	FBgn0003513
leg, with Scer\GAL4[Dll-em212]	0.0012592964985615569	4	25386	1	239	0.05252747252747253	FBgn0264075
oocyte | oogenesis stage S10	0.0012592964985615569	4	25386	1	240	0.052747252747252754	FBgn0002723
tarsal segment 3 | somatic clone	0.0012592964985615569	4	25386	1	241	0.05296703296703297	FBgn0264075
tarsal segment 2 | somatic clone	0.0012592964985615569	4	25386	1	242	0.05318681318681319	FBgn0264075
chemical resistant | semidominant	0.0012592964985615569	4	25386	1	243	0.05340659340659341	FBgn0002723
prothoracic leg disc | larval stage	0.0012592964985615569	4	25386	1	244	0.053626373626373625	FBgn0003513
mesothoracic leg disc | larval stage	0.0012592964985615569	4	25386	1	245	0.05384615384615385	FBgn0003513
border follicle cell | oogenesis stage S10 | somatic clone	0.0012592964985615569	4	25386	1	246	0.05406593406593407	FBgn0264075
larval LN period neuron	0.0012592964985615569	4	25386	1	247	0.054285714285714284	FBgn0023076
viable, with Scer\GAL4[Mef2.PR]	0.0015101442777968837	7866	17524	7	248	0.0545054945054945	FBgn0003513,FBgn0030345,FBgn0037728,FBgn0264075,FBgn0002723,FBgn0261703,FBgn0023076
photoreceptor cell R8 of pale ommatidium	0.001573686571199625	5	25385	1	249	0.05472527472527473	FBgn0003513
leg anterior compartment	0.001573686571199625	5	25385	1	250	0.05494505494505495	FBgn0003513
transverse connective primordium	0.001573686571199625	5	25385	1	251	0.05516483516483517	FBgn0264075
subperineurial glial cell	0.001573686571199625	5	25385	1	252	0.05538461538461539	FBgn0264075
neuroblast MNB	0.001573686571199625	5	25385	1	253	0.05560439560439561	FBgn0264075
exit glial cell	0.001573686571199625	5	25385	1	254	0.05582417582417583	FBgn0264075
abnormal sleep, with Scer\GAL4[P2.4.Pdf]	0.001573686571199625	5	25385	1	255	0.056043956043956046	FBgn0023076
adult olfactory receptor neuron Or47b | adult stage | conditional, with Scer\GAL4[Or47b.7.467]	0.001573686571199625	5	25385	1	256	0.056263736263736264	FBgn0002723
abnormal neurophysiology | adult stage | conditional, with Scer\GAL4[Or47b.7.467]	0.001573686571199625	5	25385	1	257	0.05648351648351649	FBgn0002723
eye photoreceptor cell, with Scer\GAL4[GMR.long]	0.001573686571199625	5	25385	1	258	0.056703296703296706	FBgn0003513
partially lethal - majority die, with Scer\GAL4[-]:	0.001573686571199625	5	25385	1	259	0.05692307692307692	FBgn0002723
abnormal locomotor rhythm, with Scer\GAL4[P0.5.Pdf]	0.001573686571199625	5	25385	1	260	0.05714285714285714	FBgn0023076
tarsal segment | ectopic	0.0018879031461867704	6	25384	1	261	0.05736263736263736	FBgn0003513
abnormal locomotor rhythm, with Scer\GAL4[cry.PE]	0.0018879031461867704	6	25384	1	262	0.05758241758241758	FBgn0023076
abnormal locomotor rhythm | semidominant	0.0018879031461867704	6	25384	1	263	0.0578021978021978	FBgn0023076
increased occurrence of cell division | somatic clone | third instar larval stage	0.0018879031461867704	6	25384	1	264	0.05802197802197803	FBgn0001233
visible | homeotic | recessive	0.0018879031461867704	6	25384	1	265	0.05824175824175825	FBgn0003513
tarsal segment 4 | somatic clone	0.0018879031461867704	6	25384	1	266	0.05846153846153847	FBgn0264075
oocyte | oogenesis stage S9	0.002201946284994452	7	25383	1	267	0.058681318681318685	FBgn0002723
photoreceptor cell R8 of yellow ommatidium	0.002201946284994452	7	25383	1	268	0.0589010989010989	FBgn0003513
bract	0.002201946284994452	7	25383	1	269	0.05912087912087913	FBgn0003513
abnormal neuroanatomy, with Scer\GAL4[sim.P3.7]	0.002201946284994452	7	25383	1	270	0.059340659340659345	FBgn0264075
lethal | male, with Scer\GAL4[Bx-MS1096]	0.002201946284994452	7	25383	1	271	0.05956043956043956	FBgn0001233
abnormal developmental rate | larval stage, with Scer\GAL4[da.G32]	0.002201946284994452	7	25383	1	272	0.05978021978021978	FBgn0001233
eye, with Scer\GAL4[GMR.PU]	0.0022599876691981433	235	25155	2	273	0.06	FBgn0003513,FBgn0001233
fertile | recessive	0.002515816049082722	8	25382	1	274	0.06021978021978022	FBgn0003513
GO0048786:presynaptic active zone | decreased number | third instar larval stage, with Scer\GAL4[Toll-6-D42]	0.002515816049082722	8	25382	1	275	0.06043956043956044	FBgn0001233
pretarsus | somatic clone	0.002515816049082722	8	25382	1	276	0.06065934065934066	FBgn0264075
abnormal locomotor rhythm | dominant	0.002515816049082722	8	25382	1	277	0.060879120879120875	FBgn0023076
dendrite & dorsal multidendritic neuron ddaC | somatic clone	0.002515816049082722	8	25382	1	278	0.06109890109890111	FBgn0003513
metathoracic tarsal segment	0.002515816049082722	8	25382	1	279	0.061318681318681324	FBgn0003513
abnormal neuroanatomy, with Scer\GAL4[477]	0.0028295125000479043	9	25381	1	280	0.06153846153846154	FBgn0003513
arista | somatic clone	0.0028295125000479043	9	25381	1	281	0.061758241758241766	FBgn0264075
abnormal cell number | adult stage	0.0028295125000479043	9	25381	1	282	0.061978021978021984	FBgn0003513
increased occurrence of cell division	0.0028295125000479043	9	25381	1	283	0.0621978021978022	FBgn0003513
VUM neuron	0.0028295125000479043	9	25381	1	284	0.06241758241758242	FBgn0264075
leg | ectopic | somatic clone	0.0031430356995582388	10	25380	1	285	0.06263736263736264	FBgn0003513
primary spermatocyte	0.0031430356995582388	10	25380	1	286	0.06285714285714286	FBgn0001233
abnormal circadian behavior, with Scer\GAL4[P2.4.Pdf]	0.0031430356995582388	10	25380	1	287	0.06307692307692307	FBgn0023076
abnormal circadian rhythm, with Scer\GAL4[tim.PE]	0.0031430356995582388	10	25380	1	288	0.0632967032967033	FBgn0023076
oocyte | oogenesis stage S14	0.0031430356995582388	10	25380	1	289	0.06351648351648352	FBgn0002723
maxillary palpus | somatic clone	0.0031430356995582388	10	25380	1	290	0.06373626373626373	FBgn0264075
visible, with Scer\GAL4[-]:	0.0031430356995582388	10	25380	1	291	0.06395604395604396	FBgn0002723
ommatidium, with Scer\GAL4[GMR.long]	0.003456385708283358	11	25379	1	292	0.06417582417582418	FBgn0003513
lethal | heat sensitive, with Scer\GAL4[hs.PB]	0.003456385708283358	11	25379	1	293	0.0643956043956044	FBgn0003513
abnormal circadian rhythm | adult stage	0.003456385708283358	11	25379	1	294	0.06461538461538462	FBgn0023076
lobula plate	0.003456385708283358	11	25379	1	295	0.06483516483516484	FBgn0002723
leg | ectopic	0.003456385708283358	11	25379	1	296	0.06505494505494507	FBgn0003513
